ComunidadAutonoma,Provincia,NombreAyuntamiento,WebAyuntamiento,SedeElectronica,HttpStatus
Andalucía,Huelva,Ayuntamiento de Cortegana,http://www.cortegana.es/es/,https://cortegana.sedelectronica.es,"HTTPSConnectionPool(host='www.cortegana.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Cumbres de Enmedio,http://www.cumbresdeenmedio.org/,,403
Andalucía,Huelva,Ayuntamiento de Cumbres Mayores,http://www.cumbresmayores.es/,http://cumbresmayores.sedelectronica.es,"HTTPSConnectionPool(host='www.cumbresmayores.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Encinasola,http://www.encinasola.es/es/,https://sede.encinasola.es/opencms/opencms/sede,"HTTPSConnectionPool(host='www.encinasola.es', port=443): Max retries exceeded with url: /es/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Escacena del Campo,http://www.escacenadelcampo.es,,"HTTPSConnectionPool(host='www.escacenadelcampo.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Galaroza,http://www.galaroza.org,,"HTTPSConnectionPool(host='www.galaroza.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de El Granado,http://www.elgranado.es,,"HTTPSConnectionPool(host='www.elgranado.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Higuera de La Sierra,http://www.higueradelasierra.org,,"HTTPConnectionPool(host='www.higueradelasierra.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000023066232290>: Failed to resolve 'www.higueradelasierra.org' ([Errno 11001] getaddrinfo failed)""))"
Andalucía,Huelva,Ayuntamiento de Hinojales,http://www.hinojales.org,,503
Andalucía,Huelva,Ayuntamiento de Hinojos,http://www.hinojos.es,,"HTTPSConnectionPool(host='www.hinojos.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
Andalucía,Huelva,Ayuntamiento de Isla Cristina,http://www.islacristina.es,,403
